course_uuid,course_code,latest_version_uuid
eefb3a8d-7669-a5dc-9e13-6f95d719ebdf,LOMR.03.021,b8342470-93bc-fd9b-65a6-42b9ea4d937a
76162416-d608-f48f-ec5d-5c40ce9b320d,FLFI.00.016,4cde92af-99f1-e5c7-ebd2-f6664c08a365
fdffd50c-3d1b-3517-aaef-c0ea70fa85e0,FLGR.01.138,26e4e130-a524-b037-c1d3-848dcb1af3d0
9c7f4c4c-f4a5-4a5d-533e-7a85e99babcf,LOKT.00.009,c15c275f-ffce-0162-9b92-3077786da658
b9d5b558-bf74-62fc-bfd8-43618a81341d,LOKT.04.003,0765c6fe-892b-66f0-7ecf-8f17bd312a96
c4890754-9e2b-7461-1ab6-17fac20cd1e8,ARKI.02.030,fbafc046-7ad9-3e17-fb7f-769184eddcac
82bdf068-6ff2-4f08-45e6-ca74f570200a,LOKT.08.001,7b3c397c-bb58-3b2d-0f46-f8c75a9f6b90
e9f5cf1c-b7a2-e01a-4405-240bbf6ccf19,FLAJ.07.091,ba9e1c43-de5d-e57b-a821-4ea27ad23370
eea00a40-e6db-c192-8c32-6b61d7cf973e,KKSB.02.034,26652376-c62e-c721-3968-29077b3aac98
d9749ed9-72b9-0016-6aac-9a8298df80be,LOFY.01.030,056237d8-7b70-cecc-5618-363952561349
06da4c94-496f-ede0-807a-3710f3bf2b05,MJJV.07.083,27a15197-0f67-ccf8-7bd3-f6a87759e256
932236ea-e0af-654e-8430-93022e9f7b5b,SVNC.00.298,b63cb528-5c84-0867-df17-95e9d7dd6681
02259bcb-ad2b-14d1-f261-60e62fda51b4,FLGR.04.153,41b0b2c2-75ce-fa43-f453-3b858a36f533
4956b9f5-c5fa-8d7f-199b-2aff3f054d4c,ARFS.01.030,f3c0ea7b-cae0-c5a9-11cc-6b0ea3320612
2c7e1edf-a39a-9c5e-f41a-d0127f5fe87b,MVFA.00.053,01fe1f48-9770-eac7-2353-7d09e4ca359e
e57289d4-dc7e-02ad-2ba9-4c16c91c09e6,LOKT.01.040,80c39a4c-0fb3-c614-c79a-4686a7300cd7
046052f2-a680-be49-782a-0636dd7e8264,LOTI.05.092,62925b04-478b-e915-d207-6ba5daa838bc
13def4e9-abc7-c98b-1df3-75a12afa469b,MTMM.00.007,90544abf-b42e-8420-5bc6-0491d6c6654f
5c6eee16-6eaf-b6ec-13da-ff129f4c9394,HVEE.05.030,b24b3af4-931d-85e2-36c9-572e45e411fd
68b1fb10-0844-b505-cd19-d9a94240bc6d,SORG.00.004,65dcbc34-c3dc-c5fd-390b-5b62370d9b40
31c327d5-2b61-c764-b418-bda22c577265,SVNC.00.179,b24625a5-8699-a772-1406-0909b5d3e7ce
53477f56-57d1-7565-10c3-63712da348f5,LOKT.06.010,ad35168e-da5b-d50f-d4c4-15ee6785852b
509490eb-fd84-ebef-78ef-e937f942c92e,MVFA.00.059,25306c72-3a0f-9718-2b85-b29fa13d488b
3bbeef87-bf0c-4752-51f8-d881d8e76ade,MTMS.01.033,fda0b1f1-b405-5544-9409-2c658f3682e4
60260c1e-4d33-3604-4e84-38927303cf64,FLEE.02.042,b46f626f-0bc0-015c-6e58-bf12858de124
117e4089-3b71-8550-900f-99916129f9d9,P2VK.02.057,64fb1473-74db-c6c9-5798-d902c2cffdd6
dadaad0f-e4a2-6e75-b2ca-135b6acf1aa2,MJJV.02.106,680a222e-2f89-b229-0a80-5fdd8504d5a0
fb21ef81-5bc5-155e-a512-e5b0f3121e16,FLKU.05.094,eac7f4b0-0fa6-add5-e5c8-d1f386b3ba18
c0940ca2-f3b4-ed45-7d1d-71350522a051,MVFA.00.057,57bedeb0-f0dd-24ed-ea0b-059ae9cc80a3
475d552c-4f73-8cc3-1953-73093c778631,USUS.08.002,fb0bb66f-2842-82df-7b10-71c46f8c75b3
a8b42761-e711-050c-ea9a-bfcc37bc08cf,OIEO.04.068,4871a4e6-898a-2160-89ab-6d4064137e61
cee3f72f-a167-b626-2abf-efb200d567fc,SOPH.00.283,31e8a353-41a1-b76c-113f-2919e908315e
5a22aafd-8d9d-5611-fe74-56d291a3d30a,P2OG.02.216,c06e6488-816a-926e-9100-c7f2d95f410a
62cb703f-f2a9-9dd4-9a52-c85fa5122a82,P2VK.02.635,cca58c25-26ef-3f59-2efb-d198deb3cb74
8bfd4d44-1fe6-316f-2702-b20d0df31dbc,FLLC.00.003,55bc4572-0174-2466-5efd-1ab70d2d42a4
a9571608-3010-1ea4-ae2b-9322a2d1c71e,MJJV.10.071,7cc3a18c-08dc-a75a-bbf7-d12fb1354024
321b05b6-0b3f-57d8-2ee2-ddeff443ef50,SHRG.00.010,3cf9f322-c312-1478-98c0-d84401b3d629
fb92a837-67a2-c588-7e58-09b4df26c6aa,P2OG.02.195,27b5b740-6ca0-3efc-9607-3858aaea7b1b
e8eb2cf9-4af6-28a8-e04c-d8fa038041f5,KKSB.05.059,63ffa018-28b5-2160-e069-f7c25885f205
c42bca29-1075-635d-6e08-b5758cf45aa7,P2VK.04.593,62b63979-df8e-1bd0-343e-bed3b312dea1
3defc1ea-b589-006c-e14f-a0a5acbd32c4,LOFY.02.031,3e38ad72-50d6-6213-4fda-45ffe8226130
e89d04ab-1fb7-b553-f74a-15d9f0432a10,MJJV.03.076,1e3b54cf-9b40-b17b-e5c0-cffd71e8edd6
db5e15b5-9436-5320-d4bc-0eea2880fa42,HVLC.04.003,42c724b8-002b-dd3a-a3ba-ce22a812d94d
ab7c01b9-6653-bea2-3ac7-e4843d708f92,SVPC.00.046,a668479c-c5cf-e63a-8520-9642d59859bf
ed211f09-81cf-6060-c107-4c8e03563b38,MVFA.00.052,b9aba48a-ba50-6961-dd11-4d8603503faf
177482aa-0f71-0db4-3c06-85bb8336b92f,P2NC.00.404,abd3d544-ab58-3405-5534-148811b51f90
f2cedba2-9f02-46cd-096d-1c62094943dc,LTTO.00.026,fa4c7e50-8977-10e6-d234-e432fb410738
536400c8-1cd0-043a-8764-23d27b6e66e9,HTOS.02.289,7d8ab6d0-7495-9d5d-6156-27ce261104d0
1213ab0b-084c-969b-2a57-4da0c6dbf1ac,FLFI.03.007,85de483d-c539-e1e8-e42f-1b7879ac0a96
05d98d2a-09e8-869e-102b-ccca1ea324a1,HVVK.12.044,9be0629c-7eca-2f42-d48a-c304efc42ab0
1b31ecbc-75f1-c4a9-0167-806c39b5d2d0,ARST.01.058,36d04ad3-3b10-f4ab-bd3c-ba42304497ba
6ab369aa-aff5-f8d1-76e0-7958b2bcb4fe,AR00.00.057,81f41318-065b-3cd1-eeed-30e6b2d05882
9e7ba471-f29e-602a-64f3-773bcbddf8da,ARSK.01.032,e4227a27-a7fb-3404-659d-49fbc5740478
7ff261b0-c6fc-7790-dc46-192bbf380b7b,SHHI.01.045,857a647a-a2db-71ad-749d-1be08133bd61
ea9f79ab-e6ff-0df4-5409-8ac6cf7cfe31,MJ00.00.024,eb71f786-8e0f-a461-dbf0-f377e197c546
7eafb942-a7a5-60ff-4da5-9d47e6629913,P2VK.04.674,95ae3a4d-e133-3c15-42f5-4e45ad38dd0a
fd196c0a-9873-2d31-5a05-719ecf601d72,MTAT.03.306,a9ba64b0-7d66-cdd2-b076-8d97007b926f
