unique_ID,aine_kood,nimi_et,nimi_en,eap,semester,hindamisviis,keel,linn,oppeaste,veebiope,eeldusained,kirjeldus,eesmargid,opivaljundid,hindamise_info
OIEO.06.046,OIEO.06.046,Rahvusvaheline eraõigus,Private International Law,6.0,kevad,"Eristav (A, B, C, D, E, F, mi)",eesti keel,Tartu linn,magistriõpe,põimõpe,,"Kursuse raames käsitletakse rahvusvahelise eraõiguse põhiteemasid, terminoloogiat ja kujunemist, tutvustatakse ja õpetatakse praktikas kasutama Eestis kehtivaid rahvusvahelise kohtualluvuse ja kohaldatava õiguse kindlaksmääramise instrumente ja nende olulisemaid norme (Haagi konventsioonid, muud Eesti Vabariigile siduvaid välislepingud, EL õigusaktid ja riigisisene õigus).","Õppeaine üldiseks eesmärgiks on õpetada rahvusvahelise eraõiguse teoreetilisi alusteadmisi; selgitada rahvusvahelise eraõiguse põhimõtete ja põhiinstituutide kujunemist, nende olemust ja vastastikuseid seoseid; anda ülevaade rahvusvahelise eraõiguse põhiteemadest ja terminoloogiast; õpetada üliõpilasi kasutama rahvusvahelise eraõiguse instrumente, tegemaks kindlaks vaidluse rahvusvaheline kohtualluvus ja sellele kohaldatav õigus ning hindamaks välisriigi kohtulahendite tunnustamise ja täitmise võimalusi Eestis.","Kursuse lõpuks peab üliõpilane olema võimeline:, -	selgitama rahvusvahelise eraõiguse põhiinstituutide ja üldpõhimõtete olemust ning nende vastastikuseid seoseid;  , -	mõistma rahvusvahelise eraõiguse erinevaid valdkondi ning neis kehtestatud normide kohaldamise spetsiifikat;, -	kohaldama rahvusvahelise eraõiguse norme vastavate instituutidega seotud vaidluste lahendamisel (esitades korrektse õigusliku arvamuse);, -	kasutama olemasolevat õiguskirjandust ja kohtupraktikat kaasuste lahendamisel;, -	rakendama erinevaid tõlgendusmeetodeid rahvusvahelise eraõiguse normi sisu ja eesmärkide selgitamiseks.",100% kirjalik eksam.
KKSB.05.092,KKSB.05.092,Praktiseerimine töökeskkonnas,Practice in the Work Environment,3.0,kevad,"Eristamata (arv, m.arv, mi)",eesti keel,Tartu linn,bakalaureuseõpe,põimõpe,,Aines Praktiseerimine töökeskkonnas laiendab üliõpilane oma silmaringi füsioteraapia valdkonnas toimetades töökeskkonnas vabatahtlikuna.,Aine eesmärgiks on töökogemuse omandamine töökeskkonnas,"Õpilane:, mõistab ja järgib töökeskkonnas tööeetikat ja-korraldust;, oskab teha meeskonnatööd ning analüüsib oma rolli selles;, hindab ja analüüsib oma erialaste teadmiste ja oskuste arengut töökeskkonnas toimetamisel., Ainekursus Praktiseerimine töökeskkonnas on seotud muuhulgas ka karjääriplaneerimise osadega nagu eneseanalüüs (nt oskab erialast kogemust analüüsida ja mõtestada), võimaluste tundmine (nt omab ettekujutust oma erialaga seotud elukutsete erialasest identiteedist) ja planeerimine (nt oskus oma tööaega planeerida).",
ARKI.02.030,ARKI.02.030,Lastekirurgia,Paediatric Surgery,2.25,sügis,"Eristamata (arv, m.arv, mi)",inglise keel,Tartu linn,integreeritud bakalaureuse- ja magistriõpe,põimõpe,AR00.00.016 (Diagnostika alused),"Lastekirurgiliste haiguste diagnoosimise ja ravi printsiibid, metoodika ja taktika. Antud aine moodustab ühe osa õppeainest ""Kirurgia"" (12 EAP)","Anda teoreetilisi teadmisi lastekirurgia alustest (laste üldkirurgia, vastsündinute kirurgia, onkoloogia),  traumatoloogiliste ja uroloogiliste haiguste iseärasustest lapseeas.","Õppe tulemusena peavad üliõpilased teadma:, 1) sagedamini esinevate lastekirurgiliste haiguste epidemioloogiat, etioloogiat, patogeneesi ja profülaktikat ;, 2) nende haiguste kliinilist pilti ja võimalikke tüsistusi;, 3) haigete uurimise kaasaegseid kliinilisi meetodeid;, 4) ravimeetodeid, sh operatiivne ravi, nende kasutamise näidustusi ja operatiivse ravi tähtaegu., Õppe tulemusena peavad üliõpilased oskama:, 1) võtta anamneesi, läbi viima kliinilisi uurimisi lastekirurgilistel haigetel ja analüüsima laste kliinilise uurimise tulemusi;, 2) koostada plaani lastekirurgiliste haiguste uuringuteks ning analüüsima tulemusi;, 3) formuleerima kliinilist diagnoosi, seda põhjendama diferentsiaaldiagnoosi põhjal;, 4) formuleerima näidustused konservatiivseks ja operatiivseks raviks.","A part of the complec exam ""Surgery"""
LOFY.04.041,LOFY.04.041,Kvantväljateooria,Quantum Field Theory,6.0,kevad,"Eristav (A, B, C, D, E, F, mi)",eesti keel,,"magistriõpe, doktoriõpe",põimõpe,(LOFY.04.073 (Kvantmehaanika) VÕI LTFY.04.001 (Kvantmehaanika)),"Loengukursuses esitatakse süstemaatiline sissejuhatus kvantväljateooriasse. Lähtudes variatsioon- ja sümmeetriaprintsiipidest tuuakse sisse klassikalisi välju kirjeldavad nn. kanoonilised suurused, millele operaatorväärtuse omistamise abil kvantiseeritakse vabad väljad (skalaarne, spiinor- ja vektorväli). Vastastikmõjuvad väljad kvantiseeritakse interaktsiooniesituses. Käsitletakse ka häiritusarvutust, normaal- ja kronoloogilisi korrutisi, Wick?i teoreemi, hajumismaatriksit, footoni hajumist elektronil jms.
Aine on vajalik fundamentaalfüüsika suuna magistrantidele.",Õppeaine eesmärgiks on tutvustada teise kvantiseerimise kaudu kvantväljade ja nende häiritusarvutusega.,"Aine läbinud õpilane:, 1. tunneb teise kvantiseerimise omapärasid., 2. oskab arvutada teistkvantiseeritud väljadega., 3. teab Feynmani reegleid ja oskab nendega arvutada., 4. saab häritusarvutust rakendada lihtsate protsesside arvutamiseks.","Hinde kujunemine: 
- kodused ülesanded
- eksam"
ARSK.01.030,ARSK.01.030,Endokrinoloogia,Endocrinology,2.25,kevad,"Eristamata (arv, m.arv, mi)",inglise keel,Tartu linn,integreeritud bakalaureuse- ja magistriõpe,põimõpe,,"Anda üliõpilastele üldised praktilised teadmised endokrinoloogiliste haiguste etiopatogeneesist, diagnoosmimisest, ravist ja preventsioonist","Endokrinoloogia moodustab ühe osa õppeainest ""Sisehaigused"" (17AP),kursuse eesmärgiks on anda üliõpilastele üldised praktilised teadmised endokrinoloogiliste haiguste  etiopatogeneesist, diagnoosimisest ja preventsioosist.","Kursuse läbinud üliõpilased:, - on omandanud teoreetilised teadmised sagedamini esinevate endokriinhaiguste epidemioloogiast, etioloogiast, patogeneesist ja kliinilisest sümptomaatikast, - teavad, millised on endokriinhaiguste diagnoosimisel ja jälgimisel kasutatavad  laboratoorsed ja instrumentaalsed uurimisvõimalused ja oskavad saadud tulemusi interpreteerida; tunnevad sagedamini esinevate endokriinhaiguste ravi ja jälgimise põhimõtteid, - oskavad küsitleda ja uurida endokriinhaigusega (või selle kahtlusega) patsienti , -  oskavad iseseisvalt küsitleda ja füüsikaliselt uurida diabeediga patsienti (diabeetilise neuropaatia hindamine); oskavad teha põhjendatud otsuseid diabeediga patsiendi ravi muutmise vajaduse osas; teavad, kuidas uurida ja jälgida patsienti diabeedi tüsistuste suhtes, - teavad diabeedi ravis kasutatavaid ravimigruppe, nende peamisi kõrvaltoimeid ning diabeedi ravi ja jälgimise põhimõtteid, - tunnevad ära erakorralist arstiabi vajava endokriinhaigusega patsiendi ja oskavad osutada vajalikku abi eriolukordades (ägedad diabeedi tüsistused, neerupealiste puudulikkus)","Moodustab ühe osa sisehaiguste eksamist. Eriala osakaal eksami hindes on igal aastal erinev ja määratakse eksami korraldaja poolt. Haigusloo positiivne hinne, kirjalik eksam."
ARSK.03.007,ARSK.03.007,Laboratoorne meditsiin,Laboratory Medicine,1.5,kevad,"Eristamata (arv, m.arv, mi)","eesti keel, inglise keel",Tartu linn,integreeritud bakalaureuse- ja magistriõpe,põimõpe,,"Tsükli vältel õpitakse tundma laboratoorse meditsiini põhimõisteid ja sagedasemate laboratoorsete uuringute kasutusvõimalusi. Tehakse praktilisi töid vere- ja uriini preparaate mikroskopeerides, glükoosi ainevahetuse interpreteerimisel. Harjutatakse laboratoorsete tulemuste seostamist teiste haige ja terve inimese seisundi kliiniliste näitajatega. Tegemist on ühe osaga diagnostika aluste kursusest.","Omandada laboratoorse meditsiini põhimõisted (terminoloogia,  uuringute tulemuste kriitiline hindamine), sagedasemate hematoloogiliste ja biokeemiliste testide praktiline käsitlus.","Tsükli edukalt läbinud üliõpilased, 1.	tunnevad laboratoorse meditsiini põhimõisteid,, 2.	oskavad haiget instrueerida labori uuringute eel, et minimeerida preanalüütiliste tegurite mõju tulemustele,, 3.	oskavad tõlgendada suuremaid kõrvalekaldeid sagedasemates hematoloogilistes uuringutes,, 4.	oskavad määrata glükoosi taset veres ja tulemusi tõlgendada,, 5.	teavad elutähtsate laboratoorsete parameetrite kriitilisi väärtusi,, 6.	oskavad teha otsuseid laboratoorsete näitajate muutuse olulisuse kohta, arvesse võttes analüüdi bioloogilist varieeruvust.",Lõputesti alusel
MJRI.09.027,MJRI.09.027,Sissejuhatus majandusteooriasse,Introduction to Economics,6.0,kevad,"Eristav (A, B, C, D, E, F, mi)",eesti keel,,bakalaureuseõpe,põimõpe,,"Käsitletakse majandusteooria põhialuseid, erinevaid majandusteoreetilisi kontseptsioone ning majandusteooria ja majanduspoliitika seoseid.",Kursuse eesmärgiks on tutvustada üliõpilastele majanduse toimimise ja selle majandusteadusliku uurimise põhialuseid.,"Aine läbinud üliõpilane:, * mõistab majanduse kui terviku toimimise mehhanisme;, * tunneb mikro- ja makroökonoomilise majandusmudeli ülesehituse loogikat, tehtavaid eeldusi ja võimalikke järeldusi;, * oskab majandusteooria käsitletavaid standardolukordi analüüsida verbaalse, graafilise ja matemaatilise mudeli kujul;, * oskab kirjeldada majanduspraktikas esile tulevaid probleeme teoreetilise mudelina; , * suudab kriitiliselt hinnata sellise mudeli praktilise rakendamise võimalusi; , * on konkreetsete mudelite näitel tutvunud probleemide abstraktse analüüsi võimalustega ja suudab neid oskusi kasutada oma edaspidistes õpingutes ja erialases töös.","Kursuse lõpphinne kujuneb jooksva töö tulemuste summana. Kokku on võimalik saada 100 punkti, millest kumbki kontrolltöö annab 35 punkti, on-line testid moodles 20 punkti ja rühmatöö koos ettekandega 10 punkti. Kõik hinnatavad tegevused (välja arvatud rühmatöö) on kohustuslikud. Kui jooksva töö punktisumma jääb alla 51% lävendi, tuleb sessi ajal sooritada korduseksam.

Hindamisel lähtutakse Tartu Ülikooli Õppekorralduseeskirja punktist 93. (ÕKE, jõustunud 31.01.2020)
https://www.ut.ee/et/oppimine/uliopilasele/oppekorraldusest

Hinne kujuneb järgnevalt saadud punktide põhjal:
Hinne A (""suurepärane"") 91-100 punkti
Hinne B (""väga hea"") 81-90 punkti
Hinne C (""hea"") 71-80 punkti
Hinne D (""rahuldav"") 61-70 punkti
Hinne E (""kasin"") 51-60 punkti
Hinne F (""puudulik"") 50 punkti ja vähem"
LOFY.04.035,LOFY.04.035,Matemaatilise füüsika võrrandid,Equations of Mathematical Physics,6.0,kevad,"Eristav (A, B, C, D, E, F, mi)",eesti keel,,bakalaureuseõpe,põimõpe,(LTFY.04.013 (Matemaatiline füüsika) VÕI LTFY.04.002 (Matemaatiline füüsika)),"Loengukursus sisaldab järgmisi teemasid: ODVde struktuur, klassifikatsioon ja lihtsustamine. ODVd füüsikas. Alg- ja ääretingimused ODVde jaoks. Matemaatilise füüsika ülesannete liigid. Fourier' meetod. Sturm-Liouville'i rajaülesanne. Integraalteisendused. Spetsiaalfunktsioonid. Ülekandeprotsesse kirjeldavad võrrandid. Lainevõrrandid. Statsionaarsed võrrandid.",Loengukursuse eesmärgiks on õppida tundma teist järku lineaarsete osatuletistega diferentsiaalvõrrandite (ODV) olulisemaid lahendusmeetodeid ning sellega seotud matemaatilist aparatuuri. Erilist tähelepanu pööratakse Greeni funktsiooni meetodi kasutamisele.,"Aine läbinud üliõpilane:, 1. Oskab ODVsid klassifitseerida ja lihtsustada;, 2. On võimeline koostama lihtsamaid füüsikalisi protsesse ja nähtusi kirjeldavaid ODVsid;, 3. Oskab kasutada muutujate eraldamise meetodit ODVde lahendamiseks;, 4. Oskab kasutada Greeni funktsiooni meetodit ODVde lahendamiseks;, 5. Oskab kasutada Fourier' ja Laplace'i teisendusi ODVde lahendamiseks., 6. Tunneb ja on võimeline kasutama olulisemaid spetsiaalfunktsioone.","<P><B><font color=red>*</font> </B>Koondtulemuseks on maksimaalselt 100 p, mis kujuneb järgnevalt:
        --kolm testi Moodle's - kokku maksimaalselt 3x3=9 p;
        --neli kodust tööd - kokku maksimaalselt 3+(3×14)=45 p;
        --kirjalik eksam - maksimaalselt 46 p.
<P>
<B><font color=red>*</font> </B>Hinne: F koondtulemus alla 51 p või eksamitulemus alla 23 p; E 51-60 p; D 61-70 p; C 71-80 p; B 81-90 p; A 91-100 p.
<P>
<B><font color=red>*</font> </B>Positiivsed tulemused on hindamisskaalal hinded A, B, C, D, E.
<P>
<B><font color=red>*</font> </B>Kursuse läbimiseks positiivse tulemusega peab eksamitulemus olema vähemalt 23 punkti.
<P>
<B><font color=red>*</font> </B>Moodle'i testidel soorituspiir puudub.
<P>
<B><font color=red>*</font> </B>Eksamisessiooni alguseks so 1. juuniks 2026 peab nelja koduse töö punktisumma olema vähemalt 23 punkti.
<P>
<P>
<B><font color=orange>V</font> </B>Eksamisessiooni sees on valida kahe eksamiaja vahel.
<P>
<B><font color=orange>V</font> </B>Koduste tööde ja Moodle'i testide toimumise ajavahemikud on toodud ÕISis ainekava (so õppeaine versiooni) ajakavas ja keskkonnas Moodle.
<P>
<B><font color=orange>V</font> </B>Punktide seisust saab üliõpilane ülevaate keskkonnas Moodle seadistuste plokis lingist Hinded. 
<P>"
MTMM.00.007,MTMM.00.007,Eesti keele suuline ja kirjalik väljendusõpetus,Estonian Orthography and Creative Composition,2.0,kevad,"Eristamata (arv, m.arv, mi)",eesti keel,Tartu linn,bakalaureuseõpe,lähiõpe,,"Kursusel keskendutakse eestikeelse lõputöö kirjutamise ja suulise tutvustamise toetamisele.
Üldised teemad:
- teadustekst (viitamine, oskussõnavara),
- erialainfootsing,
- akadeemiline esinemine,
- matemaatilise teksti vormistamine,
- lõputöö vormistamise ja kaitsmise põhiprintsiibid.","Kursuse eesmärgiks on
1) tõsta matemaatika bakalaureuseõppe lõpetajate konkurentsivõimet tööturul, toetades selleks õppijate erialase eestikeelse eneseväljendusoskuse arengut,
2) toetada õppijaid lõputöö korrektsel (nii keeleliselt kui tehniliselt) vormistamisel,
3) toetada õppijaid lõputöö kaitsmiseks valmistumisel.","Kursuse läbinud üliõpilane, 1) mõistab eneseväljendusoskuse tähtsust (sh. lõputöö koostamise ning esitamise kontekstis),
2) teab põhilisi reaalteaduste üliõpilaste kirjalikes töödes esinevaid õigekeelsusprobleeme ning oskab neid vältida,
3) teab teadusliku ning populaarteadusliku teksti erinevusi,
4) teab avaliku esinemise põhiprintsiipe ning oskab neid rakendada oma uurimisküsimuse avalikul esitusel,
5) oskab planeerida lõpptähtajast tulenevaid vahetähtaegu ja neid järgida,
6) tunneb matemaatika / matemaatilise statistika lõputööde vormistuspõhimõtteid,
7) on saanud kogemuse lõputöö proovikaitsmisest, eesmärgiga parandada tegeliku kaitsmise kvaliteeti.","Lõpphinne kujuneb seminarides osalemise, ettekannete ja kirjaliku osa põhjal."
LTAT.03.021,LTAT.03.021,Loogika arvutiteaduses,Logic in Computer Science,6.0,kevad,"Eristav (A, B, C, D, E, F, mi)",eesti keel,,bakalaureuseõpe,põimõpe,,"Kursus koosneb kolmest suuremast osast.

1. Esimeses osas tutvume lause- ja predikaatarvutuse tuletussüsteemidega. Käsitleme nii loomulikku tuletust kui ka Hilberti-tüüpi tuletust.

2. Teises osas teeme sissejuhatuse loogilisse programmeerimisesse. Uurime selle teoreetilist alust, resolutsioonimeetodit, ja praktilist realisatsiooni, programmeerimiskeelt Prolog.

3. Kolmandas osas vaatleme olulisemaid mitteklassikalisi loogikaid, mida programmide töö analüüsimisel ning nende korrektsuse tõestamisel vaja läheb.","Aine eesmärk on anda ülevaade olulisematest loogikatest, mida kasutatakse arvutiteaduses ja väljaspool seda. Tutvume meetoditega, mille abil konstrueeritakse loogilisi arutlusi programmide ja süsteemide kohta ning uuritakse nende käitumist.","Üliõpilane oskab, - defineerida ja selgitada tuletussüsteemide, loogilise programmeerimise ja mitteklassikaliste loogikatega (modaalloogika, ajaloogika, Hoare'i loogika) seotud põhilisi mõisteid;, - tuletada antud aksioomide ja reeglitega tuletussüsteemis valemeid;, - rakendada eelduste hulgast loogiliste järelduste tegemiseks resolutsioonimeetodit;, - analüüsida programmide ja süsteemide käitumist ajaloogika abil;, - tõestada lihtsamate programmide korrektsust programmiloogika abil.","Testid 16 × 0,5 p, max 7 p; kodutööd 13 × 1 p max 11 p; praktikumitööd 13 × 1 p, max 11 p; kontrolltööd 3 × 21 p; projekt 8 p; lisaülesanded 10 p. Kõik alampiirid peavad olema saavutatud.

Hindeskaala A >= 90, B >= 80, C >= 70, D >= 60, E >= 50, F < 50."
